2024-05-03 11:00:14,004 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._signal_stop_polling(455) - Received SIGINT signal
2024-05-03 11:00:14,034 - [INFO] - aiogram.dispatcher - (dispatcher.py)._polling(359) - Polling stopped for bot @send_my_logs_bot id=7109162915 - 'send_logs'
2024-05-03 11:00:14,035 - [INFO] - aiogram.dispatcher - (dispatcher.py).start_polling(554) - Polling stopped
2024-05-03 11:01:04,550 - [INFO] - apscheduler.scheduler - (base.py).start(181) - Scheduler started
2024-05-03 11:01:08,436 - [INFO] - aiogram.dispatcher - (dispatcher.py).start_polling(527) - Start polling
2024-05-03 11:01:08,586 - [INFO] - aiogram.dispatcher - (dispatcher.py)._polling(341) - Run polling for bot @send_my_logs_bot id=7109162915 - 'send_logs'
2024-05-03 11:49:08,932 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
2024-05-03 12:59:24,234 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:59:24,234 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.042266 seconds and try again... (tryings = 48, bot id = 7109162915)
2024-05-03 13:00:07,871 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 13:00:07,872 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 4.950047 seconds and try again... (tryings = 49, bot id = 7109162915)
2024-05-03 13:01:00,587 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 13:01:00,587 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.013045 seconds and try again... (tryings = 50, bot id = 7109162915)
2024-05-03 13:01:50,927 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 13:01:50,927 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 4.863769 seconds and try again... (tryings = 51, bot id = 7109162915)
2024-05-03 13:02:34,569 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 13:02:34,569 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.102384 seconds and try again... (tryings = 52, bot id = 7109162915)
